model_name,required_memory_gb,parameters_count
mobileswrv2_small,0.03200541436672211,2863796
mobileswrv2_large,0.03200541436672211,2863796
mobileswrv3_small,0.013611048460006714,1217896
mobileswrv3_large,0.03516581654548645,3146584
mobileswrv4_small,0.03501342236995697,3132948
mobileswrv4_large,0.3570683151483536,31949932
CRNN,0.09310954436659813,8331301
FCSRN,0.003522343933582306,315174
SDRN,0.23783337324857712,21280970
PGC,0.02934020385146141,2625317
HRC,0.3144122511148453,28133132
SWR,0.14198027551174164,12704180